id,block,registration_file,registration_commit,verdict,original_verdict_text,scored_in,counted_in_existing_64,note,changed_from,verdict_status,non_directional,scoring
P-W1,early census 08-23 (width),results/width_prediction.md,6956128,FAIL,FAIL: advantage gone by width 8 — failed at width 8 as written (GELU-ReLU still significant); dead units do not rescue it,results/registered_predictions.md:36,yes,,,as previously scored,False,registered rule
P-W2,early census 08-23 (width),results/width_prediction.md,6956128,PASS,PASS: two-phase decay shape borne out; measured transition width 6 (vs tanh) / 12 (vs ReLU family),results/registered_predictions.md:37,yes,,,as previously scored,False,registered rule
P-W3,early census 08-23 (width),results/width_prediction.md,6956128,PASS,PASS: large-width ceiling borne out exactly: all five activations 100/100 at widths 16/24/32,results/registered_predictions.md:38,yes,,,as previously scored,False,registered rule
P-W4,early census 08-23 (width),results/width_prediction.md,6956128,PASS,PASS: registered non-implications held; no registered falsifier occurred,results/registered_predictions.md:39,yes,,,as previously scored,False,registered rule
P-barrier,early census 08-23 (basin),results/basin_prediction.md,e15067b,FAIL,FAIL: Arrhenius premise falsified: MEP barriers exactly 0.000; linear proxy anti-correlates,results/registered_predictions.md:40,yes,"gap_results.md:137 scored this ""borne out (1,065->10->1)""; later falsified by barrier_results.md:44-55 (MEP barriers 0.000). Row verdict FAIL used.",,as previously scored,False,registered rule
P-basin,early census 08-23 (basin),results/basin_prediction.md,e15067b,FAIL,FAIL: basin-volume account not borne out,results/registered_predictions.md:41,yes,,,as previously scored,False,registered rule
P-calibration,early census 08-23 (basin),results/basin_prediction.md,e15067b,FAIL,FAIL: calibration prediction not borne out,results/registered_predictions.md:42,yes,,,as previously scored,False,registered rule
P-onset,early census 08-23 (basin),results/basin_prediction.md,e15067b,FAIL,FAIL: early onset formulation superseded/falsified,results/registered_predictions.md:43,yes,"gap_results.md:136 scored this ""untestable as stated""; registered_predictions.md row says FAIL. Row verdict used; arguably UNRESOLVED.",,as previously scored,False,registered rule
P-2a,Arrhenius 08-27,results/arrhenius_prediction.md,6be69dc,PASS,PASS: onsets at B=4k/64k bracketed and ordered as registered,results/registered_predictions.md:44,yes,,,as previously scored,False,registered rule
P-2a-geom,Arrhenius 08-27,results/arrhenius_prediction.md,6be69dc,UNRESOLVED,unresolved: geometric variant not separately scored,results/registered_predictions.md:45,yes,,,as previously scored,False,registered rule
P-2a-onset,Arrhenius 08-27,results/arrhenius_prediction.md,6be69dc,PASS,PASS: onset moves with budget in the registered direction,results/registered_predictions.md:46,yes,,,as previously scored,False,registered rule
